metric,mean,std
accuracy,0.773079885352798,0.006758083303919531
precision,0.8231941883058738,0.00679490654822422
recall,0.7261771395816676,0.008590457096755143
f1,0.7716335357965184,0.007197553850541462
roc_auc,0.8592788379521276,0.006141077273639534
