model,accuracy,precision,recall,f1,roc_auc
random_forest,0.782942169044332,0.8413607275176828,0.725740848343986,0.7792856028700671,0.8654313639253731
xgboost,0.7855499309710078,0.8290405666452029,0.7481115630447415,0.7864996945632254,0.8682885448200808
