metric,mean,std
accuracy,0.7700393107869108,0.00700208867165491
precision,0.8329086744445103,0.005894613969810068
recall,0.7060887957179347,0.012323587427859136
f1,0.7642234001645869,0.008451876722469479
roc_auc,0.8552440951705215,0.004019895023878708
