feature,importance,std
unregistered_before_cutoff,0.02613025095521344,0.0014151438115283022
mean_score,0.013662834315826267,0.0008212714403123828
weighted_score,0.007052190164674043,0.001123949290637363
clicks_page,0.005823610511723465,0.0013735636425239327
clicks_url,0.003908067173204977,0.0010821287459968226
studied_credits,0.003892977260662067,0.0007442013014853105
avg_days_before_due,0.003322041776803375,0.0014728671780465249
clicks_quiz,0.002403180658885651,0.0013997240238318846
num_of_prev_attempts,0.0018171749553115735,0.0010721341808315374
clicks_subpage,0.0015874681887862118,0.0006060852880473542
highest_education_ordinal,0.0015700650517486148,0.001132194855549905
clicks_ouwiki,0.0014695591180518442,0.0008402608565563183
disability_flag,0.0010052438234014137,0.0006143512243053687
region_North Western Region,0.000578724430079558,0.0004412714101863337
clicks_glossary,0.0005334679879770432,0.00038857468273088044
age_band_ordinal,0.0005200171764876416,0.0004746155840590485
clicks_externalquiz,0.00041376490899942554,0.0007509774620379276
region_Wales,0.0004086167730969814,0.00038618868426806976
distinct_sites,0.0003832048525159948,0.00033668814754776857
pct_banked,0.00029422683134692205,0.00017156065785165723
