feature,importance,std
mean_score,0.038022005607091416,0.0024796295001001008
unregistered_before_cutoff,0.029082730584434204,0.0015922470627843142
avg_days_before_due,0.012142595806004164,0.0020147118227968504
clicks_page,0.012058377865811876,0.0013006463347837735
studied_credits,0.009734274984598912,0.0009543788577981197
active_days,0.00939477213706541,0.0005339543711014763
highest_education_ordinal,0.006114748288646932,0.0017509976380888454
clicks_url,0.0051325396109879184,0.0024313698556834235
weighted_score,0.0038977937194238253,0.0016121714466852146
num_of_prev_attempts,0.0035888296895375095,0.0016768633957163848
distinct_sites,0.002462498116048528,0.0008423834133404741
clicks_quiz,0.0024255664181408675,0.0019497544004685467
disability_flag,0.0024226221556062468,0.0006349621343605847
clicks_oucontent,0.0023601684845964586,0.0017593598749017997
region_Wales,0.0019125362939067304,7.636973619726377e-05
clicks_questionnaire,0.0017645356805731538,0.000599451555624977
clicks_forumng,0.0017564654407278945,0.0010444397104626725
region_Scotland,0.0015162838168200298,0.0004218374466406116
avg_clicks_per_active_day,0.0015070775117540514,0.0011758293228790178
engagement_score,0.0014536600459987615,0.0014282929747875316
