feature,importance
mean_score,0.09526049790222134
weighted_score,0.0763753226917444
avg_days_before_due,0.07101090384366857
unregistered_before_cutoff,0.058929481085742336
engagement_score,0.04503150251438041
clicks_homepage,0.044006767542422075
active_days,0.04226807878851957
total_clicks,0.038718093807774405
avg_clicks_per_active_day,0.03417012237251562
distinct_sites,0.03294236744829673
clicks_forumng,0.032657728119376984
studied_credits,0.0322010749982752
clicks_resource,0.03200064327280084
clicks_subpage,0.03175602238440924
clicks_oucontent,0.031526084872485566
registration_lead_days,0.030055594372115052
clicks_url,0.027077932908865048
submission_rate,0.023895559677627302
imd_band_ordinal,0.020816758185973748
clicks_quiz,0.020577526096212655
